V,tita
1010,0.599296665
1014,0.593543023
1013,0.584853193
1007,0.584213298
1013,0.578722296
1014,0.573450088
1011,0.572676016
1011,0.571407753
1013,0.55665503
1012,0.556304743
1012,0.548853507
1011,0.543769918
1010,0.543370769
1007,0.541492177
1010,0.538318815
1011,0.522286415
1011,0.516911067
1003,0.511397537
1010,0.507569697
1009,0.497537239
1011,0.49702777
1011,0.488382604
1008,0.484077859
1001,0.480674749
1009,0.479564903
1009,0.461632746
1007,0.460875726
1009,0.460693997
1007,0.457682536
1007,0.454505738
1008,0.440776766
997,0.439492238
1006,0.431724989
1007,0.428409479
1008,0.428267839
1004,0.420217958
992,0.413159428
1004,0.407653741
1004,0.401267361
1007,0.396883406
1006,0.392649338
1002,0.384979515
979,0.376565201
988,0.37553407
1001,0.375138621
1006,0.369864096
1000,0.354798716
1001,0.351753597
1000,0.344156894
1003,0.342588807
983,0.339447322
1003,0.338459224
1001,0.327604262
998,0.323742365
997,0.322555043
996,0.321032016
1001,0.315495398
973,0.310178449
998,0.304428713
990,0.300028847
994,0.293464997
996,0.290585878
998,0.290395934
990,0.284670848
992,0.283833923
958,0.279822669
988,0.271586167
990,0.268206554
980,0.264905765
989,0.263593217
980,0.26066398
947,0.245853273
989,0.24243346
973,0.240510486
965,0.238836274
979,0.23748116
981,0.235330907
973,0.223955166
983,0.222251497
922,0.220423867
963,0.220047371
954,0.213196636
943,0.208704793
970,0.204905518
950,0.197096315
881,0.188642402
953,0.186394159
896,0.185632956
960,0.184432998
922,0.183786607
926,0.181214056
919,0.174312645
789,0.169649748
923,0.167936689
932,0.167031398
854,0.165634377
921,0.159872471
818,0.157764873
657,0.154701238
924,0.152470139
883,0.150376593
950,0.147904446
878,0.147485983
696,0.146387257
770,0.14445374
900,0.14283049
863,0.140500859
657,0.133908486
835,0.133467029
813,0.129970558
815,0.125087069
573,0.124130514
651,0.121946898
571,0.119062726
513,0.117802838
550,0.106277381
708,0.104661135
