V,tita
513,0.117802838
550,0.106277381
571,0.119062726
573,0.124130514
651,0.121946898
657,0.133908486
657,0.154701238
696,0.146387257
708,0.104661135
770,0.144453740
789,0.169649748
813,0.129970558
815,0.125087069
818,0.157764873
835,0.133467029
854,0.165634377
863,0.140500859
878,0.147485983
881,0.188642402
883,0.150376593
896,0.185632956
900,0.142830490
919,0.174312645
921,0.159872471
922,0.183786607
922,0.220423867
923,0.167936689
924,0.152470139
926,0.181214056
932,0.167031398
943,0.208704793
947,0.245853273
950,0.197096315
950,0.147904446
953,0.186394159
954,0.213196636
958,0.279822669
960,0.184432998
963,0.220047371
965,0.238836274
970,0.204905518
973,0.240510486
973,0.223955166
973,0.310178449
979,0.376565201
979,0.237481160
980,0.264905765
980,0.260663980
981,0.235330907
983,0.222251497
983,0.339447322
988,0.271586167
988,0.375534070
989,0.263593217
989,0.242433460
990,0.300028847
990,0.284670848
990,0.268206554
992,0.283833923
992,0.413159428
994,0.293464997
996,0.290585878
996,0.321032016
997,0.322555043
997,0.439492238
998,0.323742365
998,0.304428713
998,0.290395934
1000,0.354798716
1000,0.344156894
1001,0.351753597
1001,0.327604262
1001,0.375138621
1001,0.315495398
1001,0.480674749
1002,0.384979515
1003,0.338459224
1003,0.342588807
1003,0.511397537
1004,0.401267361
1004,0.420217958
1004,0.407653741
1006,0.431724989
1006,0.392649338
1006,0.369864096
1007,0.457682536
1007,0.454505738
1007,0.460875726
1007,0.428409479
1007,0.396883406
1007,0.584213298
1007,0.541492177
1008,0.440776766
1008,0.484077859
1008,0.428267839
1009,0.479564903
1009,0.460693997
1009,0.497537239
1009,0.461632746
1010,0.538318815
1010,0.599296665
1010,0.543370769
1010,0.507569697
1010,0.612515246
1011,0.677974042
1011,0.668098329
1011,0.571407753
1011,0.543769918
1011,0.516911067
1011,0.497027770
1011,0.738342078
1011,0.572676016
1011,0.522286415
1011,0.488382604
1011,0.661320226
1011,0.631571421
1012,0.620116781
1012,0.613769028
1012,0.548853507
1012,0.604644450
1012,0.556304743
1012,0.686304664
1012,0.663051028
1012,0.634235060
1012,0.633900290
1012,0.752295816
1012,0.750806611
1012,0.650627595
1013,0.652982178
1013,0.605573602
1013,0.620137716
1013,0.578722296
1013,0.744638291
1013,0.726234712
1013,0.607258135
1013,0.675514771
1013,0.584853193
1013,0.556655030
1013,0.751378296
1013,0.729259018
1014,0.726798953
1014,0.699869285
1014,0.805758972
1014,0.728179168
1014,0.687822425
1014,0.573450088
1014,0.765628609
1014,0.737349611
1014,0.706106640
1014,0.593543023
1014,0.776357782
1014,0.738406457
1014,0.803001616
1014,0.742610663
1014,0.731893206
1014,0.690424527
1014,0.660757851
1014,0.636035620
1014,0.608666023
1015,0.735942795
1015,0.709560580
1015,0.781786978
1015,0.791900190
1015,0.776878235
1015,0.763196804
1015,0.713159549
1016,0.802378266
1016,0.781981101
